kelime,tanımı nedir,ne işe yarar,nasıl yapılır,nerede bulunur,niçin yapılır,yanında neler bulunur,ne olunca yapılır,içinde neler bulunur,yapınca ne olur,hammaddesi nedir,neyi kimi yapılır,üst kavramı nedir,kim ne ile yapılır,kim kullanır,neye kime yapılır,sıfatları,nerede yapılır,rengi,kim ne yapar,şekli nasıl,fiziksel zihinsel,canlı cansız
sosis,"['yüzerken yardımcı olan alet', 'baharatlı kıyma ile hazırlanan yiyecek', 'işlenmiş bir et yada tavuk ürünü', 'genellikle baharatla yoğurularak', 'kahvaltıda yenilen et ürünü', 'etten yapılan gıda', 'içinde hayvan eti bulunan', 'sıkıştırılmış et', 'kalitesiz et', 'bir et ürünü', 'kıyılmış etin baharatla soğurulduktan sonra ya tam ya ya yarı pişirilerek hayvan bağırsağı içine doldurulmasıyla hazırlanan bir yiyecek türü', 'hayvan bağırsağı içinde yarı ya ya tam pişirilerek hazırlanan gıda maddesidir']","['doymak', 'yeme', 'yenmek', 'karın doyurmak', 'atıştırmak', 'yemek yapmak', 'lezzet katmak', 'bir tür yiyecektir', 'yenilir', 'yiyecek', 'tam', 'besin olarak tüketilmek', 'yüzmeye yardımcı olur', 'beslenmek', 'beslenme', 'yemek', 'yenir', 'yenme', 'zevk']",,"['mutfakta', 'buzdolabı', 'şarküteri', 'ekmek', 'maket', 'tost', 'evde', 'ev', 'makarna', 'bakkal', 'dolapta', 'deniz ve havuz yakınlarında', 'kasap', 'tavuk döner', 'markette', 'börek', 'yemek', 'restoranda', 'dolap']",,"['ketçap', 'simit', 'patates', 'turşu', 'yumurta', 'ekmek', 'tost', 'et döner', 'makarna', 'kolluk', 'kuşbaşı', 'döner', 'gıdalar', 'sucuk', 'biftek', 'tavuk döner', 'salam', 'zeytin', 'peynir', 'kaşar', 'sos', 'patetes']",,"['tuz', 'hindi', 'tavuk yada et', 'plastik', 'yağ', 'et', 'işlenmiş et', 'kıyma', 'baharat', 'hayvan eti', 'nişasta']",,"['hindi', 'tavuk yada et', 'plastik', 'et', 'hayvan eti', 'proteini', 'piliç eti', 'soya', 'nişasta', 'dana yağı']",,"['et ürünleri', 'kırmızı et', 'yemek', 'spor aleti', 'yiyecek', 'et', 'besin', 'gıda']",,"['aşçılar', 'öneriler', 'öğrenciler', 'aşçı', 'herkes', 'insanlar', 'insan', 'bakkal', 'veganlarvejetaryanlar hariç herkes', 'acemi yüzücüler']",,,,"['mavi', 'pembe', 'kırmızıpembe', 'kahverengi', 'kırmızı']",,"['çubuk', 'ince uzun', 'uzun', 'uzun silindir', 'silindir', 'uzun ve ince', 'silindirik', 'ince silindir']",,['cansız']
soya,"['sosu olan bir bitki', ' boyunda', 'bir baklagil çeşidi', 'kökeni çin ve japonyaya uzanan', 'proteini değeri bakımından zengin bir tür fasulye', 'besin maddesi olarak kullanılan bir tür fasülye', 'dallanmış', 'bir bitki türü', 'gıdalarda endüstriyel kullanımı çok geniş bitki', 'uzakdoğu fasulyesi', 'proteini değeri zengin fasülye', 'sos çeşidi', 'yemeklik yağ elde edilen bir tür fasulye', 'doğu asya kökenli bir bitki', 'baklagiller familyasından', 'soya fasulyesi', 'bir fasülye türü yiyecek', 'tek yıllık bir bitkidir', 'doğu asya kökenli']","['lezzet katmak', 'insanların yiyebileceği bir tür sebzedir', 'yemekleri lezzetlendirme', 'doymak', 'yemek yapma', 'beslenmek', 'yemek', 'tatlandırmak', 'tam katmak', 'yemeğe katmak', 'yenir', 'sağlıklı beslenmek', 'yenme', 'gıda üretiminde', 'tam vermek', 'yenilir', 'yemek yapmak', 'besin kaynağı']",,"['mutfakta', 'manav', 'çin lokantası', 'mutfak', 'aktar', 'maket', 'tost', 'doğa', 'evde', 'ev', 'makarna', 'kantin', 'orman', 'bakkal', 'dolapta', 'tavuk döner', 'tarla', 'markette', 'toprak', 'yemek', 'restoranda', 'doğada', 'bahçe', 'sos']",,"['gıdaların içindekiler kısmında yazanlar', 'su', 'barbunya', 'çiğ balık', 'patates', 'soya sosu', 'çapa', 'gıdalar', 'yiyecek', 'suşi', 'toprak', 'fasulye', 'tavuk', 'fasülye', 'limon suyu', 'yemek', 'et', 'mantı', 'salata', 'sos']",,"['vitamin', 'fasulyesi', 'yağ', 'karbonhidrat', 'bitki yağı', 'besin', 'soya fasulyesi', 'proteini', 'organel', 'çeşitli vitaminler', 'soya', 'minerali']",,"['su', 'fasulye', 'soya fasülyesi', 'karbonhidrat', 'yağ', 'soya küspesi', 'karbon', 'proteini', 'tohum', 'soya', 'minerali']",,"['malzeme', 'baklagil', 'yemek', 'sebze', 'yiyecek', 'besin', 'bitki', 'gıda', 'sos']",,"['aşçılar', 'öneriler', 'öğrenciler', 'aşçı', 'herkes', 'insanlar', 'insan']",,,,"['yeşil', 'siyah', 'sarı', 'açık kahverengi', 'kahverengi']",,"['silindir', 'fasulye gibi', 'ince uzun', 'yuvarlak']",,"['tarladayken canlı', 'canlı', 'cansız']"
soğan,"['sarımsak vb bitkilerin toprak altındaki yumru kökü', 'bir sebze türü', 'kök sebzesi', 'yemeklere tam vermek için yumrusu ve yeşil yaprakları kullanılan güzel kokulu bitki', 'yemeklerde sıkça kullanılan bir bitki', 'zambak', 'göz yaşartan', 'yenen bir sebze türü', 'tarlalarda', 'bir sebze', 'çiğdem', 'yemeklerde kullanılan kök bitki', 'yenen', 'lale', 'yemeklerde kullanılan katmanlı sebze', 'bazı bitkilerin toprak altındaki yumru kökü', 'zambakgillerden', 'acı bir bitki', 'sebze', 'sebze çeşidi', 'bahçelerde yetiştirilen ıtırlı bir bitki']","['güçlü bir antioksidandır', 'lezzetlendirme', 'lezzet katmak', 'yenmek', 'salata malzemesi olarak kullanılır', 'beslenmek', 'yemek yapma', 'beslenme', 'yemek', 'bağışıklık sistemini güçlendirir', 'yemeklerde kullanılır', 'tam', 'yenir', 'bağışıklık', 'yemekleri tatlandırmak', 'karın doyurmak', 'yemek yapmak']",,"['bahçede', 'buzdolabı', 'manav', 'mutfak', 'maket', 'evde', 'ev', 'pazar', 'hal', 'kiler', 'depo', 'tarla', 'toprak', 'yemek', 'restoranda', 'doğada', 'bahçe', 'salata', 'dolap']",,"['soğan', 'patates', 'sarımsak', 'ekmek', 'salatalık', 'kök', 'sumak', 'bıçak', 'çapa', 'ocak', 'meyve', 'ciğer', 'domates', 'solucan', 'biber', 'toprak', 'fasulye', 'peynir', 'yemek', 'sebze', 'kuru fasülye', 'salata']",,"['su', 'vitamin', 'yağ', 'karbonhidrat', 'soğan hücresi', 'bitki yağı', 'sodyum', 'zar', 'lif', 'organel', 'proteini', 'cücük', 'kalsiyum', 'magnezyum', 'minerali']",,"['su', 'hücre', 'toprak', 'vitamin', 'karbonhidrat', 'besin', 'soğan tohumu', 'karbon', 'lif', 'proteini', 'tohum', 'magnezyum', 'minerali']",,"['malzeme', 'sebze', 'yiyecek', 'besin', 'bitki', 'gıda']",,"['aşçılar', 'öğrenciler', 'aşçı', 'herkes', 'insanlar', 'anneler', 'etoburlar', 'insan']",,,,"['kahve rengi', 'mor', 'koyu sarı', 'yeşil', 'turuncu', 'sarı', 'beyaz', 'kahverengi', 'kırmızı', 'sayı']",,"['küresel', 'küre', 'yuvarlak', 'yumru']",,"['canlı', 'cansız']"
spor,"['eğlenmek ve yarışmak amacı ya bulunan beden hareketlerinin tümünün ortak adı', 'vücudu geliştirmek için yapılan aktivite', 'kuralları olan beden hareketlerinin tümü', 'bedeni geliştirmek için yapılan düzenli aktivite', 'bedeni veya zihni geliştirmek amacıyla kişisel veya toplu olarak gerçekleştirilen', 'kasları geliştirmek ve yarışmak için yapılan aktivite', 'bazı kurallara göre uygulanan hareketlerin tümü', 'fiziksel aktivite içeren etkinlikler', 'belli kurallara ve tekniklere uyularak yapılan', 'kurallar eşliğinde yapılan etkinlikler', 'bedeni veya zihni geliştirmek amacıyla kişisel veya toplu olarak gerçekleştirilen hareketlerin tümü', 'bedeni geliştirmek amacıyla yapılan hareketler', 'beden hareketleri', 'bedensel gelişmeye yararlı', 'bedensel hareketler']","['vücud geliştirme', 'mantarlarda üreme', 'sağlıklı yaşamak', 'sağlık', 'zinde kalmak', 'sağlıklı olmak', 'sağlıklı yaşamaya', 'izlemesi keyif verici ve yapanlar için faydalı etkinlik', 'bedenin ve zihnin gelişmesine yardımcı olur', 'eğlenmek', 'aktivite', 'sağlık kazanmaya', 'kas geliştirir', 'keyifli vakit geçirmek', 'vücudun çalıştırılması', 'sağlıklı yaşam', 'egzersiz yapmak', 'zinde kalmak ve sağlıklı olmak']",,"['', 'spor sahası', 'stadyum', 'hücre', 'fark', 'mantar', 'olimpiyat', 'doğada', 'spor salonu', 'festivallerde', 'parkur', 'ringe', 'saha', 'alan', 'açık hava', 'spor salonunda']",,"['', 'gereç', 'müzik', 'su', 'raket', 'diyet', 'bisiklet', 'sporcular', 'magazin', 'spor malzemeleri', 'top', 'araç', 'dambıl', 'platea topu', 'sanat', 'dalları', 'insan', 'belirli alanlar']",,"['fitnes', 'basketbol', 'sağlık', 'rafting', 'yenilmek', 'yenmek', 'paten', 'başarı', 'mücadele', 'ısınma', 'bedensel hareketler', 'sporcu', 'okçuluk', 'voleybol', 'spor aletleri', 'esneme', 'hareket', 'para', 'futbol', 'antrenman', 'masa tenisi', 'ısınma hareketleri']",,"['periskop', 'hırs', 'yoktur', 'hareket', 'etispor', 'futbol']",,"['hobi', 'hücre', 'sağlık', 'disiplin', 'egzersiz', 'spor', 'aktivite', 'hareket', 'eğlence', 'müsabaka', 'faaliyet']",,"['sporcu', 'mantar', 'sporcular', 'sağlıklı yaşamak isteyenler', 'herkes', 'insanlar', 'insan', 'ait insanlar']",,,,['renksiz'],,['şekilsiz'],,['cansız']
spor yapmak,"['sportif aktivitelerde bulunmak', 'vucut egzersizi', 'bireysel veya takım halinde yapılan ve kişisel eğlence veya mükemmelliğe ulaşmak için yapılan fiziksel veya zihinsel aktivite', 'belli kurallara göre yapılan fiziksel veya zihinsel aktivite', 'bedeni veya zihni geliştirmek amacıyla kişisel veya toplu olarak gerçekleştirilen', 'bedeni veya zihni geliştirmek amacıyla uygulanan hareketlerin tümü', 'vücudun çalışması amaçlı hareketler yapmak', 'hareket etmek', 'bedeni geliştirmek', 'fiziki aktivite yapmak', 'insan', 'mücadele etmek', 'spor aktiviteleri yapmak', 'sağlıklı bir beden için yapılan eylem', 'egzersiz yapmak', 'fiziksel aktivite yapmak', 'kişinin kimliğini öğrenmek için soyunu sopunu bilmek gerekir', 'vücut aktivitesinde bulunmak', 'planlı hareket etmek', 'ait kalmak için düzenli hareketler yapmak', 'bazı kurallara göre uygulanan hareketlerin tümü', 'beden sağlığı için yapılan hareketler', 'fiziksel aktivitede bulunmak']",,"['uzuvlara', 'vücut', 'çalışarak', 'antreman', 'kollarla', 'kontrollü', 'zor', 'kurallara uyarak', 'yorularak', 'kurallı', 'yorucu', 'koşma', 'hareketleri yapmak', 'düzenli', 'hareket', 'yorulmak', 'koşarak', 'koşmak', 'ağır', 'egzersizle', 'kaldırarak', 'yüzme', 'hafif', 'planlamak', 'ağırlık kaldırmak']",,"['kişisel mutluluk', 'sağlık', 'sağlıklı olmak için', 'zinde kalmak', 'sağlık için', 'sağlıklı olmak', 'incelemek', 'vucüt geliştirmek', 'zayıflamak', 'dinç olmak', 'güçlenmek', 'kas yapmak', 'sağlıklı kalmak', 'istemek', 'güç', 'kilo vermek', 'ait olmak']",,"['zayıf düşmek', 'kilo alınca', 'sporcu', 'hasta olmak', 'sağlıklı olmak', 'kas zayıflaması', 'sağlıklı yaşamak istediğinde', 'kilo almak', 'şişmanlatmak', 'yarış', 'kas', 'güçsüzlük', 'stres']",,"['dinç hisseder', 'sağlık', 'zayıflamak', 'katlanır', 'mutlu', 'ait olmak', 'kuvvetli', 'sağlıklı', 'ait', 'sportif', 'kilo verilir', 'özgüven', 'takım yener', 'derlenir', 'kas', 'yorulmak', 'vucüdu gelişmek', 'vücut esnek olmak', 'gelişmek', 'fiziksel', 'terleme', 'ait olunur', 'kilo vermek']",,"['kelebekleme', 'ınsan', 'yüzme', 'egzersiz', 'spor', 'spor salonu', 'ısınma', 'kas']",,"['vücut', 'vucut', 'kol', 'koç', 'ekipman', 'yürüme bandı', 'disiplin', 'dambıl', 'top', 'bacak', 'insan', 'egzersiz yapmak', 'ağırlık', 'raket', 'spor aletleri', 'pota', 'dumbbell', 'kas', 'spor aleti', 'antrenör', 'koşu bandı']",,"['kendine', 'vücut', 'ınsan', 'sağlık', 'takıma', 'vücuda', 'hareket', 'koşu bandı']",,"['salonda', 'sahil', 'gelişmek', 'ev', 'havuzda', 'spor salonu', 'orman', 'saha', 'sahada', 'spor salonunda', 'kortta', 'sokak', 'spor salon']",,"['yüzücü', 'atlet', 'ağırlık kaldırma', 'sporcu', 'genç', 'sporcular', 'spor aleti', 'herkes', 'kadın', 'yüzer', 'sporcu koşar', 'insan', 'futbolcu', 'basketbolcu']",,,
su,"['hayatın devamı sağlayan molekül', 'hidrojen ve oksijenden oluşan sıvı', 'yaşam kaynağı sıvı', 'tatsız bir kimyasal bileşik', 'doğal sıcaklıkta sıvı durumunda bulunan', 'vücutta çok önemli şeffaf sıvı', 'içilebilir temel besin', 'dünya üzerinde bol miktarda bulunan canlıların yaşaması için vazgeçilmez olan kokusuz', 'hayat kaynağımız olan içecek', 'vücut yakıtı', 'hidrojenle oksijenden oluşan', 'hayatı oluşturan bileşen', 'tatsız madde', 'iki hidrojenle bir oksijen atomundan oluşan', 'yaşamın olmazsa olmaz sıvısı', 'temel yaşam sıvısı', 'renksiz', 'kokusuz', 'sıvı durumunda bulunan']","['sağlıklı yaşamak', 'sağlıklı olmak', 'çözücü', 'yıkanmak', 'temizlemek', 'birleştirir', 'yemek yapmak', 'çay yapmak', 'ihtiyaç gidermek', 'yaşam kaynağı', 'susuzluk gidermeye', 'bitkileri sulamak', 'yaşamak', 'canlılığın devamı', 'yaşama', 'canlıların yaşaması için tüketilir', 'hayatımızı devam ettirmek', 'hayatta kalmak', 'beslenmek', 'beslenme', 'yaşamın devamlılığını sağlar', 'susuzluğu dindirmek', 'serinlemek', 'içilir', 'içmek']",,"['damacana', 'mutfakta', 'ırmak', 'baraj', 'buzdolabı', 'mutfak', 'canlılığın olduğu her yer', 'maket', 'derede', 'şişe', 'evde', 'bardak', 'göl', 'yere', 'pek şişe', 'nehirde', 'her yerde', 'nehir', 'banyoda', 'her yer', 'yağmur', 'sürahi', 'dolapta', 'ay', 'çeşme', 'depo', 'okyanus', 'yemek', 'doğada', 'dünya', 'deniz', 'gölde', 'heryerde']",,"['çay', 'tencere', 'yengeç', 'buğday', 'taş', 'ot', 'ekmek', 'şişe', 'ayran', 'bardak', 'ev', 'canlı', 'balık', 'kola', 'sürahi', 'spor', 'yosun', 'içecek', 'toprak', 'yemek', 'ağaç', 'kaynak', 'ter', 'her şey bulunabilir', 'inek', 'her şey', 'buz']",,"['tuz', 'hidrojen', 'su', 'oksijen', 'balık', 'hidrojen ve oksijen', 'buz', 'kum', 'taş', 'minerali', 'mineraller']",,"['hidrojen', 'oksijen', 'oksiyen', 'sıvı', 'atomu', 'katı', 'gaz', 'hidrojen oksijen', 'hidrojen ve oksijen atomu', 'minerali']",,"['yaşam', 'bileşik', 'bileşikler', 'molekül', 'sıvı', 'gıda', 'besin', 'bileşen', 'madde', 'içecek']",,"['herkes', 'insanlar', 'bitkiler', 'canlılar', 'insan', 'hayvan', 'hayvanlar', 'sucu', 'her şey']",,,,"['saydam', 'renksiz', 'şeffaf']",,"['bulunduğu kabın şeklindedir', 'şekilsiz', 'sıvı', 'sıvıdır', 'akışkan', 'akıcı']",,['cansız']
su ısıtıcısı,"['odaksız ve açık ateş yakmadan suyu çok hızlı bir şekilde ısıtan mutfak aletleri', 'suyu ısıtan alet', 'su ısıtmaya yarayan araç', 'suyu kaynatmaya yarayan elektrikli alet', 'su ısıtmaya yarayan alet', 'yemek yapmak ya ya temizlenmek için suyun ısıtılmasında kullanılan araçlar', 'suyu ısıtmaya yarayan alet', 'su ısıtan alet', 'su ısıtmak için kullanılan alet']","['su ısıtma', 'sıcak su elde etmek', 'suyun kaynamasını sağlar', 'yıkama', 'su ısıtılır', 'su ısıtmak', 'suyu ısıtır', 'ısıtmak', 'suyu ısıtmak', 'su kaynatmak', 'suyu ısıtmaya', 'su kaynatır', 'kaynatmak', 'su ısıtmaya', 'kahve yapmak', 'çay yapmak']",,"['çay ocağı', 'küvet', 'oda', 'iş yeri', 'evde', 'ev', 'mutfakta', 'ofiste', 'fabrikada', 'ofis', 'mutfak']",,"['çay', 'kablo', 'şeker', 'su', 'bardak', 'tost makinesi', 'tahta çubuk', 'fiş', 'baharatlık', 'elektrik', 'priz', 'kahve makinası', 'kahve', 'buzdolabı', 'mutfak aletleri', 'her şey']",,"['meta', 'su', 'yüksek dirençli elektrik devreleri', 'demir', 'termostat', 'gaz', 'rezistans', 'rezidans', 'motoru', 'devre', 'ısıtıcı demir']",,"['meta', 'su', 'demir', 'plastik', 'çelik']",,"['ev aleti', 'kaynatma', 'cihaz', 'eşya', 'ısıtıcı', 'beyaz eşya', 'mutfak eşyası', 'alet', 'araç', 'elektrikli aletler', 'ev eşyası', 'küçük ev aleti', 'mutfak aleti']",,"['ev hanımı', 'herkes', 'insanlar', 'insan']",,,,"['siyah', 'beyaz', 'her renk', 'gri', 'tüm renkler']",,"['yuvarlak', 'silindir', 'katı', 'kare', 'dikdörtgenler prizması', 'genellikle silindir', 'silindirik']",,['cansız']
söylemek,"['söz ile bildirmek', 'ifade etmek', 'bildiğini düşündüğünü sözle anlatmak', 'belirtmek', 'anlatmak', 'birine bir şeyi sesli olarak ifade etmek', 'konuşmayla anlatmak', 'dile getirmek', 'düşündüğünü veya bildiğini sözle anlatmak', 'ağızdan kelimeleri dökmek', 'bir şeyin yapılmasını sözle istemek', 'insan', 'mücadele etmek', 'duyduğunu sözle', 'bir şeyin olmasını söz ile söylemek', 'bildiğini sözle', 'bir duyguyu ifade etmek', 'haber vermek', 'sözlü iletişim ile bir bilgiyi aktarmak', 'konuşmak', 'düşündüğünü', 'sözle anlatmak', 'bildiğini', 'duymadığını']",,"['konuşmak', 'konuşarak', 'hızlıca', 'sözle', 'ağızla', 'söyleyerek', 'konuşma', 'söylemek', 'sözlü', 'sesli', 'dil ile', 'içten', 'insan', 'anlatarak', 'kullanarak']",,"['konuşmak', 'nasihat', 'iletişim kurmak', 'anlatmak', 'iletişim', 'haber', 'planlama', 'paylaşmak', 'bilgi aktarmak', 'ifade etmek', 'eğlenmek', 'ihtiyaç duymak', 'açıklamak', 'istemek', 'eğlence', 'haber vermek', 'tartışmak']",,"['sohbet etmek isteyince', 'anlaşılmak', 'gerekmek', 'ıfade etmek', 'fikir ayrılığı', 'düşünce', 'iletişim', 'yaramazlık', 'istemek', 'sahneye çıkmak', 'paylaşım', 'konfrans yapıldığında', 'ihtiyaç', 'açıklama gereği duymak', 'konser', 'öğretmek', 'bilgi aktarmayı istemek']",,"['konuşmak', 'sohbet', 'bildirim', 'bilgi verme', 'paylaşım', 'bilgi alışverişi', 'cevap almak', 'fiziksel', 'ortak fikir', 'öğrenmek', 'eğlenmek', 'bilgilendirmek', 'iletişim kurulmuş olur', 'iletişim sağlamak', 'mutlu', 'bilgilendirir', 'ders']",,"['şarkı', 'nasihat', 'ınsan', 'cümle', 'olay', 'fikir', 'haber', 'söz', 'iletişim', 'sözü', 'içinden geçeni', 'fikrini', 'bilgi', 'açıklama', 'düşünceler', 'sokak']",,"['konuşmak', 'laf', 'cümle', 'dil', 'ses', 'beyin', 'söz', 'sözle', 'diğer insanlar', 'konuşma', 'mikrofon', 'insan', 'ağız', 'yalan']",,"['ınsan', 'çocuklara', 'öğrenci', 'arkadaş', 'söz', 'insanlara', 'karşı tarafa', 'çocuğa', 'öğrenciye', 'arkadaşına', 'gazeteci', 'insana', 'insan', 'katılımcılara', 'seyirci']",,"['sahne', 'münazara', 'sınıf', 'herhangi bir yer', 'işte', 'ortamda', 'yaşanılan her yerde', 'evde', 'bilgi vermek', 'gazete', 'her yerde', 'her yer', 'uçak', 'okul', 'sokak', 'kafe', 'mal', 'iş yeri', 'telefon', 'meclis', 'toplantı odası', 'bahçe', 'kongre merkezi']",,"['şarkıcı', '', 'kişiler', 'başkan', 'konuşmacı', 'öğretmen', 'kelime', 'hoca', 'anne konuşur', 'sanatçı', 'politikacı', 'sözcü', 'herkes', 'anne', 'arkadaş', 'insan']",,,
söz vermek,"['kesin olarak yapacağını söylemek', 'bir işi yapacağını temin etmek', 'bir işi yapacağını kesinlikle bildirmek', 'vaatte bulunmak', 'konuşturmak için hak vermek', 'mücadele etmek', 'birine bir şeyi yapacağını söylemek', 'alt içmek', 'bir durumun yapılacağına dikkat çekmek', 'bir şeyi yerine getireceğini kesinlikle bildirmek', 'garanti vermek', 'o işin kesinlikle yapılacağını söylemek', 'kesin yapacak olmak', 'yemin etmek', 'kesin olarak yapacağı söylenmek', 'insan', 'ileride kesinlikle yapacağına veya yapmayacağına dair bildiride bulunmak', 'bir şeyin yapılacağı teminatını vermek']",,"['konuşmak', 'konuşarak', 'iletişim', 'arkadaş', 'kesin', 'mertlik', 'söyleyerek', 'sözlü', 'almak', 'söyleme', 'söylemek', 'yemin etmek', 'içten', 'hak vermek', 'yazılı']",,"['teşvik etmek için', 'güven', 'teminat vermek', 'karıştırmamak', 'bir işi yapacağını kanıtlamak için', 'planlama', 'sadakat', 'inandırmak', 'anlaşmak', 'teyit', 'ikna etmek', 'istekleri olması için', 'kesinlik', 'güven duymak', 'oy toplamak', 'mutluluk', 'yerine getirmek']",,"['güvensizlik', 'ödül', 'inandırmak', 'kapora', 'ikna edemeyince', 'ikna etmek', 'inanmamak', 'seçim yaklaşınca', 'anlaşılınca', 'güvenilmez', 'istek', 'parmak kaldırmak', 'yapmayı temin edince', 'planlamak']",,"['ikna', 'güven vermek', 'güven', 'teminat', 'sever', 'kesinlik oluşur', 'fiziksel', 'güvenmek', 'güven kazanmak', 'emin olmak', 'inanmak', 'yapmak', 'mutlu', 'sorumluluk']",,"['yapacağın şeyi', 'ınsan', 'anlaşma', 'buluşma', 'ev', 'vaat', 'söz', 'iş', 'sözü', 'yemin', 'hediye', 'insan', 'isteklerini']",,"['konuşmak', 'söz ile', 'şeker', 'dil', 'arkadaş', 'beyin', 'söz', 'kalp', 'vaat', 'diğer insanlar', 'konuşma', 'işaret etmek', 'ağız ile', 'insan', 'ağız', 'içtenlikle']",,"['müşteri', 'halk', 'ınsan', 'çocuklara', 'kızına', 'öğrenci', 'öğretmen', 'arkadaş', 'söz', 'insanlara', 'eşe', 'çocuğa', 'karşı tarafa', 'çocuk', 'insana', 'insan']",,"['dükkan', 'her yer', 'güven vermek', 'evde', 'telefon', 'sınıf', 'oyun', 'ev', 'avde', 'toplantı odası', 'nikahta', 'meydan', 'araba', 'karşılaşınca', 'işte', 'masa', 'her yerde', 'yaşanılan her yerde']",,"['dost', 'öğrenci', 'bakan', 'öğretmen', 'satıcı', 'kelime', 'arkadaş', 'borçlular', 'herkes', 'ebeveyn', 'insanlar', 'politikacı', 'anne', 'baba', 'insan', 'sevgili', 'damat', 'gelin']",,,
sözcük,"['bir ya ya birden çok heceden oluşan', 'kelime', 'dil öğesi', 'anlamlı ses birliği', 'can ile ruh sözcükleri çoğu zaman aynı anlamda kullanılıyor', 'tümce kurmaya yarayan ve tümce kuruluşunda özel görevi olan dil öğesi', 'harflerden oluşan anlamlı yazı', 'harflerin birleşiminden oluşan kelime', 'belli bir anlamı olan', 'cümlenin yapıtaşı', 'alfabeyle oluşturulan anlamlı imge']","['konuşmak', 'iletişimin temelidir', 'cümle oluşturur', 'cümle kurmak', 'yazmak', 'cümle kurmaya yarar', 'duygu ve düşünceleri ifade etmek', 'anlaşmak', 'ifade etmek', 'konuşma', 'cümle oluşturulur', 'cümle kurmaya', 'istenilen anlatılır', 'insanların kendilerini ifade edebilmesine yarar', 'cümle kurma', 'konuşmaya']",,"['slaytta', 'sözlük', 'kitaplarda', 'mısra', 'cümle', 'metin', 'paragraf', 'kelime', 'konuşma', 'roman', 'kitapta', 'kitap', 'şiir', 'defterde', 'cümlelerde']",,"['soru işareti', 'nokta', 'sözcük', 'noktalama işaretleri', 'ses', 'kelime', 'cümle', 'ünlem', 'kalem', 'harfler', 'kağıt', 'diğer sözcükler', 'virgül', 'sıfat', 'bağlaç', 'noktalama işareti', 'boşluk']",,"['anlam', 'harfler', 'heceler', 'harf', 'hece']",,"['harf', 'harfler', 'düşünce']",,"['iletişim', 'kelime', 'dil', 'ses', 'söz', 'dil öğesi', 'cümle', 'alet']",,"['yazar', 'yazarlar', 'siyasiler', 'herkes', 'insanlar', 'insan', 'konuşan herkes']",,,,"['siyah', 'renksiz']",,"['şekilsiz', 'her yazı dilinde farklı']",,['cansız']
sözlük,"['kelimelerin anlamlarını barındıran kitap', 'sözcüklerin anlamlarını içeren kitap', 'başka dillerdeki karşılıklarını veren eser', 'kelimelerin anlamlarını öğrenmek için kullanılan kitap', 'açıklayan', 'tanımlayan ya ya başka bir dildeki karşılıklarını gösteren yapıt', 'kelimeleri tanımlayan ya ya başka bir dildeki karşılıklarını gösteren yapıt', 'kelimelerin anlamlarını bulduğumuz kitapçık', 'kelimlerin anlamlarını bulunduran cümle', 'bir dilin bütün veya belli bir çağda kullanılmış kelime ve deyimlerini alfabe sırasına göre alarak tanımlarını yapan', 'kelime tanımlayıcı yapıt', 'kelimeleri açıklayan eser', 'bir dilin bütün sözcük ve deyimlerini ya ya belli bir alandaki sözcüklerini ya ya belli bir çağda kullanılmış olan sözcük ve deyimlerini abece sırasıyla vererek anlamlarını açıklayan', 'sözcüklerin anlamlarının yer aldığı kitap', 'lügat', 'sözcük kitabı']","['kelime anlamına bakılır', 'kelimeler hakkında bilgi verir', 'sözcüklerin anlamlarınıiçerin kitaplık', 'anlam öğrenmek', 'kelime öğrenmek', 'kelimelerin anlamlarını öğrenmek', 'kelimelerin anlamların öğrenilmesi', 'anlam öğrenme', 'bilgilenmeye', 'kelime bulmak', 'sözcük anlamı arama', 'kelime anlamını öğrenmek', 'anlam bakmaya', 'kelime anlamı öğrenmek', 'sözcükleri öğretmek', 'sözcüklerin anlamlarını öğrenmek', 'anlamlara bakılır', 'öğrenmek', 'sözcük öğrenmek', 'anlamak']",,"['çanta', 'sırt çantası', 'oda', 'kitapçı', 'ev', 'kütüphane', 'kırtasiye', 'okulda', 'sahaf', 'masa', 'raf', 'kitaplık', 'internet', 'okul', 'kütüphanede']",,"['hikaye', 'kelime', 'okuma kitabı', 'defter', 'deyimler', 'atasözleri', 'kitaplar', 'başvuru kitabı', 'başka kitaplar', 'imla kılavuzu', 'kalem', 'ders kitabı', 'kitap', 'öykü', 'sözcük', 'gözlük', 'kağıt', 'roman', 'diğer kitaplar', 'imla klavuzu', 'ansiklopedi', 'kelimeler']",,"['anlam', 'sözcük', 'cümle', 'kelime', 'deyim', 'sayfa', 'yaprak', 'cümleler', 'yazı', 'kelimeler', 'zıt anlam', 'sesteş', 'atasözü', 'tanım', 'harf', 'eş anlam', 'hece', 'sözcükler']",,"['sözcük', 'kelime', 'harfler', 'selüloz', 'ağaç', 'kağıt', 'harf']",,"['edebiyat', 'kelime anlamı', 'dil', 'dilbilim kitapları', 'yazılı metin', 'alet', 'araç', 'kitap']",,"['yazarlar', 'öğretmenler', 'okuyan herkes', 'öğrenci', 'öğretmen', 'öğrenciler', 'herkes', 'insanlar', 'tercümanlar', 'araştırmacılar', 'insan', 'türkçe öğretmenleri', 'dil öğrenenler']",,,,"['beyaz', 'mavi', 'tüm renkler', 'kırmızı']",,"['dikdörtgen', 'dikdörtgen prizma', 'prizma', 'kare']",,['cansız']
